ID,home_city
0,900000001
0,900000001
0,900000001
0,900000001
0,900000001
0,900000002
0,900000002
0,900000002
0,900000003
0,900000003
0,900000003
0,900000004
0,900000004
0,900000004
0,900000004
0,900000004
0,900000005
0,900000005
0,900000005
0,900000006
0,900000006
0,900000006
0,900000006
0,900000006
0,900000006
0,900000006
0,900000006
0,900000007
0,900000007
0,900000007
0,900000007
0,900000008
0,900000008
0,900000008
0,900000008
0,900000008
0,900000009
0,900000009
0,900000009
0,900000009
0,900000009
0,900000009
0,900000009
0,900000009
0,900000010
0,900000010
0,900000010
0,900000010
0,900000010
